Threat Category,Threat Actor,Attack Vector,Geographical Location,Sentiment in Forums,Severity Score,Suggested Defense Mechanism,Risk Level Prediction,Cleaned Threat Description,Keyword Extraction,Named Entities (NER),Topic Modeling Labels
DDoS,Unknown,Network,USA,0.8,5,Increase Web Security,2,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing
DDoS,APT-28,Web,USA,0.79,3,Increase Web Security,2,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Malware
DDoS,Unknown,Email,Germany,0.78,5,Increase Web Security,1,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Ransomware
Malware,Unknown,Email,Global,0.69,2,Increase Web Security,1,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware
Phishing,Anonymous,Email,North Korea,0.89,2,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing
Malware,Anonymous,Email,Global,0.63,1,Monitor for Phishing,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS
Malware,Lazarus Group,Email,Germany,0.97,3,Quarantine,3,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Malware
Malware,Anonymous,Network,USA,0.95,1,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing
DDoS,Anonymous,Email,Germany,0.67,2,Quarantine,5,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
Ransomware,APT-28,Network,Russia,0.86,2,Patch Vulnerability,5,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing
Phishing,Anonymous,Network,Russia,0.79,4,Increase Web Security,1,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS
Ransomware,Lazarus Group,Network,North Korea,0.67,5,Increase Web Security,2,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",DDoS
Malware,APT-28,Web,Germany,0.99,2,Quarantine,2,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS
Malware,Lazarus Group,Web,North Korea,0.51,1,Increase Web Security,4,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Ransomware
Ransomware,Anonymous,Network,North Korea,0.63,1,Increase Web Security,5,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",DDoS
Ransomware,Lazarus Group,Web,Russia,0.76,5,Increase Web Security,3,phishing email with malicious link,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",DDoS
Ransomware,APT-28,Email,North Korea,0.76,5,Monitor for Phishing,3,malware detected in email attachment,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",DDoS
Malware,Unknown,Email,Russia,0.79,4,Monitor for Phishing,4,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Malware
Malware,Lazarus Group,Network,USA,0.88,3,Increase Web Security,2,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",DDoS
Phishing,Lazarus Group,Email,Germany,0.81,1,Monitor for Phishing,3,malware detected in email attachment,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Ransomware
Phishing,APT-28,Network,North Korea,0.8,5,Patch Vulnerability,2,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing
Malware,APT-28,Network,Russia,0.53,1,Increase Web Security,4,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Malware
Ransomware,Lazarus Group,Email,Global,0.69,5,Patch Vulnerability,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing
Ransomware,Anonymous,Web,North Korea,0.62,2,Quarantine,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",DDoS
Phishing,Lazarus Group,Email,USA,0.63,1,Patch Vulnerability,2,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
Malware,APT-28,Email,USA,0.78,2,Quarantine,3,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing
Phishing,Unknown,Network,Global,0.6,1,Increase Web Security,1,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Malware
Phishing,Unknown,Network,Russia,0.65,3,Quarantine,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing
DDoS,Anonymous,Network,North Korea,0.62,4,Quarantine,2,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Ransomware
DDoS,Lazarus Group,Network,Russia,0.97,2,Patch Vulnerability,2,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Phishing
DDoS,Unknown,Web,USA,0.97,5,Patch Vulnerability,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Phishing
Ransomware,Lazarus Group,Web,Russia,0.8,3,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing
Malware,APT-28,Web,USA,0.96,1,Increase Web Security,4,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
Malware,Unknown,Network,Russia,0.89,2,Increase Web Security,3,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware
Malware,Anonymous,Network,Global,0.79,1,Patch Vulnerability,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing
Malware,APT-28,Network,Germany,0.5,1,Increase Web Security,2,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
DDoS,Anonymous,Web,Global,0.89,1,Increase Web Security,1,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Ransomware
Ransomware,APT-28,Network,Global,0.85,4,Quarantine,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Ransomware
Ransomware,Unknown,Email,Germany,0.81,4,Quarantine,1,malware detected in email attachment,"['phishing', 'link', 'email']","['Anonymous', 'Website']",DDoS
DDoS,Anonymous,Email,Germany,0.88,5,Patch Vulnerability,4,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing
Ransomware,Anonymous,Network,North Korea,0.76,2,Increase Web Security,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
DDoS,APT-28,Email,North Korea,0.85,3,Quarantine,3,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing
Malware,Anonymous,Email,Global,0.97,3,Monitor for Phishing,4,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing
DDoS,APT-28,Web,Global,0.69,3,Increase Web Security,4,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing
Malware,APT-28,Network,USA,0.85,1,Monitor for Phishing,5,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware
Malware,APT-28,Network,USA,0.74,4,Patch Vulnerability,4,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing
Phishing,APT-28,Web,North Korea,0.84,2,Increase Web Security,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing
DDoS,Unknown,Email,North Korea,0.88,1,Patch Vulnerability,1,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",DDoS
Phishing,APT-28,Email,USA,0.52,4,Patch Vulnerability,2,malware detected in email attachment,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Ransomware
DDoS,Lazarus Group,Network,USA,0.82,4,Patch Vulnerability,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing
DDoS,Anonymous,Email,Russia,0.61,2,Patch Vulnerability,2,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing
Phishing,Lazarus Group,Web,Russia,0.84,2,Patch Vulnerability,3,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware
Phishing,Unknown,Web,USA,0.73,2,Increase Web Security,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Malware
DDoS,Lazarus Group,Network,Russia,0.89,1,Monitor for Phishing,3,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware
Ransomware,Anonymous,Web,Germany,0.56,5,Increase Web Security,5,malware detected in email attachment,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing
Malware,Lazarus Group,Web,North Korea,0.81,2,Increase Web Security,1,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
Phishing,Unknown,Network,North Korea,0.64,5,Increase Web Security,3,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS
Malware,APT-28,Web,USA,0.93,1,Quarantine,5,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS
Ransomware,Lazarus Group,Web,Global,0.96,5,Quarantine,3,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",DDoS
Ransomware,Unknown,Web,USA,1,3,Increase Web Security,5,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Malware
Ransomware,Unknown,Email,Russia,0.9,5,Monitor for Phishing,5,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing
Phishing,Anonymous,Network,Global,0.88,2,Increase Web Security,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Malware
Ransomware,Anonymous,Network,Russia,0.61,1,Patch Vulnerability,2,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",DDoS
Phishing,Lazarus Group,Network,Germany,0.67,2,Quarantine,5,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing
Ransomware,APT-28,Email,Russia,0.73,3,Quarantine,5,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Ransomware
Malware,Unknown,Email,Germany,0.89,2,Increase Web Security,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing
Malware,Lazarus Group,Network,Germany,0.96,2,Increase Web Security,2,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing
DDoS,Unknown,Email,Russia,0.59,2,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",DDoS
Malware,Unknown,Network,Russia,0.96,4,Monitor for Phishing,4,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Malware
DDoS,APT-28,Email,Germany,0.85,3,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware
Malware,APT-28,Web,Global,0.81,2,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing
Phishing,Lazarus Group,Web,Germany,0.6,2,Increase Web Security,1,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Malware
Malware,APT-28,Network,North Korea,0.53,2,Increase Web Security,2,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",DDoS
DDoS,APT-28,Email,Germany,0.78,1,Quarantine,4,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware
DDoS,Lazarus Group,Email,Global,0.83,4,Patch Vulnerability,5,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS
Ransomware,APT-28,Web,North Korea,0.61,1,Monitor for Phishing,4,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
Phishing,Anonymous,Web,USA,0.78,4,Quarantine,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
Malware,Unknown,Email,USA,0.93,2,Quarantine,1,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Malware
Ransomware,Unknown,Email,Global,0.92,3,Quarantine,5,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Ransomware
Malware,Unknown,Email,Germany,0.96,5,Quarantine,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
Malware,Unknown,Email,Russia,0.68,5,Patch Vulnerability,5,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",DDoS
Ransomware,Lazarus Group,Email,Global,0.66,2,Increase Web Security,3,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing
Ransomware,Unknown,Email,North Korea,0.87,1,Monitor for Phishing,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing
Ransomware,Unknown,Network,North Korea,0.72,3,Monitor for Phishing,1,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Ransomware
Ransomware,Unknown,Email,USA,0.54,4,Quarantine,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware
Ransomware,Unknown,Web,North Korea,0.64,2,Quarantine,3,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing
Malware,Anonymous,Network,Global,0.71,3,Patch Vulnerability,1,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Phishing
Ransomware,Unknown,Email,North Korea,0.65,3,Quarantine,4,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
Phishing,Anonymous,Web,Global,0.67,4,Monitor for Phishing,3,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware
DDoS,Lazarus Group,Network,Russia,0.65,3,Monitor for Phishing,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware
Ransomware,APT-28,Web,USA,0.52,1,Increase Web Security,5,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Ransomware
Ransomware,Unknown,Email,North Korea,0.82,1,Increase Web Security,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Malware
Malware,APT-28,Email,Global,0.8,1,Monitor for Phishing,1,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing
Ransomware,APT-28,Email,Germany,0.83,3,Monitor for Phishing,2,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Ransomware
Ransomware,Lazarus Group,Email,USA,0.6,1,Patch Vulnerability,5,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS
Ransomware,APT-28,Network,Russia,0.65,4,Patch Vulnerability,1,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",DDoS
Malware,Anonymous,Network,Global,0.81,3,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing
Ransomware,APT-28,Web,Russia,0.8,5,Quarantine,3,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Malware
DDoS,APT-28,Email,Russia,0.75,3,Increase Web Security,1,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing
Malware,APT-28,Web,North Korea,0.68,4,Monitor for Phishing,5,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing
DDoS,Unknown,Network,North Korea,0.96,5,Quarantine,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing
Malware,Unknown,Email,Global,0.67,3,Monitor for Phishing,2,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing
Ransomware,Anonymous,Email,Germany,0.73,1,Increase Web Security,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS
DDoS,Anonymous,Network,Global,0.84,2,Increase Web Security,4,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware
Malware,Unknown,Network,Germany,0.77,2,Patch Vulnerability,1,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",DDoS
Phishing,Anonymous,Network,Russia,0.67,1,Patch Vulnerability,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware
Ransomware,Unknown,Network,USA,0.72,2,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing
Malware,Lazarus Group,Network,Global,0.9,2,Patch Vulnerability,2,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing
Phishing,APT-28,Email,Global,0.64,1,Increase Web Security,1,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware
Malware,APT-28,Network,Germany,0.57,1,Quarantine,4,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware
Phishing,Anonymous,Email,Russia,0.66,3,Quarantine,5,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Malware
Ransomware,Unknown,Email,Russia,0.92,3,Quarantine,1,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Malware
DDoS,Unknown,Network,Germany,0.54,1,Monitor for Phishing,1,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",DDoS
Phishing,Anonymous,Network,Russia,1,4,Patch Vulnerability,3,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Ransomware
Malware,Unknown,Email,North Korea,0.77,2,Patch Vulnerability,4,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS
Ransomware,Lazarus Group,Network,USA,0.99,3,Increase Web Security,5,malware detected in email attachment,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing
Phishing,APT-28,Network,Global,0.97,2,Increase Web Security,2,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Ransomware
Malware,Anonymous,Network,USA,0.73,5,Monitor for Phishing,1,phishing email with malicious link,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Phishing
Malware,Anonymous,Web,Global,0.6,1,Monitor for Phishing,5,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Phishing
Malware,Unknown,Email,North Korea,0.58,4,Quarantine,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",DDoS
Phishing,Anonymous,Web,Russia,0.62,5,Increase Web Security,4,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Malware
Phishing,Lazarus Group,Network,Germany,0.86,5,Patch Vulnerability,4,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Ransomware
Phishing,Unknown,Web,North Korea,0.64,5,Quarantine,5,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",DDoS
DDoS,Unknown,Network,USA,0.67,1,Patch Vulnerability,2,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Malware
Phishing,Unknown,Web,Germany,0.72,3,Quarantine,4,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
Phishing,Unknown,Network,Russia,0.96,1,Patch Vulnerability,5,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Ransomware
Phishing,Lazarus Group,Web,North Korea,0.59,3,Monitor for Phishing,4,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing
DDoS,Unknown,Web,Germany,0.5,5,Quarantine,4,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing
Phishing,Anonymous,Web,North Korea,0.53,5,Patch Vulnerability,4,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Malware
Malware,Lazarus Group,Email,North Korea,0.95,4,Patch Vulnerability,3,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware
Phishing,APT-28,Web,Russia,0.82,3,Increase Web Security,2,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Ransomware
Malware,APT-28,Email,Global,0.64,5,Quarantine,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing
Malware,Anonymous,Network,Germany,0.59,2,Patch Vulnerability,5,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware
Malware,Anonymous,Web,Russia,0.65,4,Increase Web Security,2,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Malware
DDoS,Lazarus Group,Network,North Korea,0.56,1,Patch Vulnerability,2,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
DDoS,APT-28,Network,Russia,0.97,4,Quarantine,2,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing
DDoS,APT-28,Web,Global,0.89,2,Monitor for Phishing,2,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing
Phishing,APT-28,Email,Germany,0.73,3,Quarantine,1,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
Malware,APT-28,Web,Global,0.93,1,Quarantine,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing
DDoS,APT-28,Network,USA,0.62,1,Patch Vulnerability,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Malware
DDoS,Unknown,Network,Germany,0.86,3,Patch Vulnerability,4,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",DDoS
Phishing,Anonymous,Web,Global,0.93,4,Quarantine,4,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",DDoS
DDoS,Unknown,Email,North Korea,0.68,5,Increase Web Security,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Phishing
Phishing,APT-28,Email,Germany,0.88,4,Increase Web Security,4,phishing email with malicious link,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Malware
Ransomware,Lazarus Group,Network,Germany,0.65,2,Increase Web Security,2,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Ransomware
DDoS,Lazarus Group,Network,Russia,0.65,5,Patch Vulnerability,1,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing
Ransomware,APT-28,Email,North Korea,0.55,4,Patch Vulnerability,2,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",DDoS
Phishing,APT-28,Web,USA,0.72,3,Quarantine,4,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Malware
Malware,Lazarus Group,Network,Global,0.86,2,Monitor for Phishing,1,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing
DDoS,Unknown,Email,Russia,0.97,2,Patch Vulnerability,2,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Malware
Phishing,Unknown,Network,Global,0.8,2,Quarantine,5,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Malware
Malware,APT-28,Web,USA,0.93,5,Quarantine,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",DDoS
Malware,Unknown,Email,USA,0.91,1,Monitor for Phishing,4,phishing email with malicious link,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",DDoS
Ransomware,Lazarus Group,Network,Germany,0.59,5,Increase Web Security,1,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Ransomware
